iso,angry_avg,disgust_avg,fear_avg,happy_avg,neutral_avg,sad_avg,surprise_avg,anger_dom_pct,disgust_dom_pct,fear_dom_pct,happy_dom_pct,neutral_dom_pct,sad_dom_pct,surprise_dom_pct
COM,0.04147272169939242,0.16165974069735967,0.004795561850187369,0.26539142106776126,0.4891046027187258,0.02258469062508084,0.014991276664659381,0.0,25.0,0.0,25.0,50.0,0.0,0.0
CRI,0.007816986180841923,0.012799381278455257,0.005684785079210997,0.001197607023641467,0.9004979133605957,0.07108502835035324,0.000918337784241885,0.0,0.0,0.0,0.0,100.0,0.0,0.0
CUB,0.1138766992080491,0.08010263746005616,0.006416373895522806,0.25669875770940315,0.4659967680594751,0.03064169205858239,0.04626707961350413,7.142857142857142,7.142857142857142,0.0,21.428571428571427,64.28571428571429,0.0,0.0
CYP,0.8117414712905884,0.058298394083976746,0.023202134296298027,0.011989766731858253,0.04519008472561836,0.019352411851286888,0.030225688591599464,100.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,0.3214792385697365,0.16456534961859384,0.014442656810084978,0.008212191984057426,0.22329663826773563,0.24246379484732947,0.025540135412787397,33.33333333333333,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0
DEU,0.2395298635558818,0.14347840769770423,0.013527705068373887,0.12644464054482607,0.2651304775867149,0.1755823685652626,0.03630652663534084,21.98581560283688,11.347517730496454,0.0,14.893617021276595,31.20567375886525,16.312056737588655,4.25531914893617
DJI,0.014368097142626842,0.03163855724657575,0.004007160818825166,0.11324739456176758,0.7977858781814575,0.009395508095622063,0.029557377720872562,0.0,0.0,0.0,0.0,100.0,0.0,0.0
DMA,0.0022701912093907595,0.0026575354859232903,0.001243002712726593,0.982218861579895,0.0007965990225784481,0.0013331237714737654,0.009480588138103485,0.0,0.0,0.0,100.0,0.0,0.0,0.0
DNK,0.0363791458948981,0.1694886572950054,0.023827075187000446,0.49695650779176503,0.026693857784266584,0.19832564987882506,0.0483291012205882,0.0,25.0,0.0,50.0,0.0,25.0,0.0
DZA,0.0936481279454061,0.09656485010470663,0.06562147608825139,0.5309756790686931,0.10184268500389797,0.046609580383769104,0.06473764244999204,0.0,0.0,14.285714285714285,85.71428571428571,0.0,0.0,0.0
ECU,0.035911110074569784,0.033706755532572664,0.013661631771052877,0.5244670376026382,0.22980341486011943,0.03987121535465121,0.12257883884012699,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0
